.id,headline,description,source,date
1,America's Most Wired Cities,"From smartphones to tablets, Wi-Fi to 3G/4G: I cover telecom & mobile. This article is more than 2 years old. Share to facebook; Share to twitter",Forbes,"Jan 22, 2009"
1,HP Mini 2140 Review,"ASUS Eee PC 4G (Intel Celeron M ULV @ 630MHz), 289.156 seconds. ASUS Eee PC 4G (Intel Celeron M ULV @ 900MHz), 200.968 seconds.",NotebookReview.com,"Jan 18, 2009"
1,LG X110 Review,"by Kevin O'Brien. The X110 is a stylish new netbook from LG, which offers stylish portability and optional 3G wireless for internet access ...",NotebookReview.com,"Jan 16, 2009"
1,Sony VAIO P Review,by Jerry Jackson. This year at the Consumer Electronics Show in Las Vegas Sony stunned the world with the introduction of the VAIO P. This ...,NotebookReview.com,"Jan 19, 2009"
1,AT&T Launches Motorola Tundra VA76r,AT&T this morning launched the mil-spec ruggedized Motorola Tundra VA76r. This phone is designed to counterpart ruggedized phones that ...,PhoneNews.com (blog),"Jan 15, 2009"
1,RAM Disk Puts New Spin On the SSD 305,"theraindog writes ""Although the solid-state storage market is currently dominated by flash-based devices, you can also build an SSD out of ...",Slashdot,"Jan 22, 2009"
1,Kingston intro DataTraveler OX-Limited Ed. USB Drv,Kingston DataTraveler Year of the OX-Limited Edition brings you much good fortune in 2009. Unique OX DataTraveler in 4G and 8G storage ...,TweakTown (press release),"Jan 20, 2009"
1,评论：从加拿大北方电讯网络公司事件看竞争力,"先是用3年时间缩小生产规模，特别是放弃了当时占有统治地位的新技术（UMTS3G），转而投巨资研发超前的无线宽带通讯网络技术（WiMax 4G）, ...",搜狐,"Jan 19, 2009"
1,Nortel nộp đơn xin ph� sản,"Nhà sản xuất thiết bị viễn thông lớn nhất Bắc Mỹ Nortel Networks Corp hôm qua đã nộp đơn phá sản, hy vọng cứu được mảng kinh doanh một ...",Thông tin công nghệ,"Jan 15, 2009"
1,Malawi's Hazel Warren Answers to all the Accusations Against Her,"February 25, 2010 at 10:34 PM. Anonymous said... Hi everyone. Do not miss your chance to get a free iPhone 4G. Visit http://bit.ly/d9QOON.",Malawi Current News (blog),"Jan 16, 2009"
